content,score,thumbsUpCount,at,userName
"masih ttp bintang satu klaim voucher khusus goride tidak bisa menunggu sampai tengah malam malah error dan tidak berlaku sedangkan untuk mobil masih bisa kami lebih banyak membutuhkan motor bukan mobil buang buang waktu dan uang", 1, 39, 17/11/2024, Ariefyana Fuji Lestari
"driver tidak kompeten tolong ditegur dan diedukasi masalah tarif itu bukan urusan pelanggan tapi pengaturan aplikasi perusahaan urusan waktu dan lokasi jemput selalu jadi alasan ya kalau tidak mau menjemput tidak usah menggunakan aplikasi gps dan chat selalu nonaktif tolong edukasi driver kecewa", 1, 1, 23/11/2024, denia ratna
"tolong agar driver lebih serius dalam menerima pesanan saya akhir akhir ini sudah berkali kali di prank driver sebelumnya terima kasih atas itu saya ada keluhan lain dimana peta suka berputar lebih jauh padahal ada tempat yang lebih dekat serta kualitas teleponnya bisa ditingkatkan", 2, 12, 17/11/2024, Sukma
"mau login ke akun yang sudah terdaftar ketika mencoba memasukkan email yang sama tertulis email sudah terdaftar saya menekan tombol masuk bukan membuat akun baru kok tidak bisa berarti sistem masuknya sama seperti membuat akun baru meskipun memasukkan email yang sama tidak bisa dicoba dengan email random baru bisa masuk dan akun yang login adalah akun baru aneh", 1, 8, 17/11/2024, Donny Setiadi
"katanya kalau sudah berlangganan akan lebih murah tapi kenapa saya sudah berlangganan harga malah lebih mahal dibandingkan jika tidak berlangganan percuma saya berlangganan jika lebih mahal bagaimana ini saya sudah mengeluarkan uang tiga puluh ribu bagaimana ini saya juga butuh uang malah lebih mahal berlangganan daripada tidak mohon cepat dijawab", 1, 2, 18/11/2024, Echa 13
"tolong ya jika memang sulit mencari driver atau di sekitar restoran tidak ada driver pesanan kita dibatalkan saja dari sistem karena sudah beberapa kali seperti ini niat saya lapar mau pesan makanan tapi menunggu lama karena tidak ada driver yang mengambilnya membuat mood semakin buruk mungkin saran saja jika di sekitar restoran tidak ada driver bisa otomatis dibatalkan oleh sistem karena kasihan yang menahan lapar sangat menunggu tanpa kepastian yang ujung ujungnya tidak mendapatkan driver terima kasih", 4, 5, 17/11/2024, cholis viki
"aplikasi sangat buruk di peta banyak tanda driver yang dekat lokasi penjemputan eh yang datang malah driver yang jauh sekali ada acara tarif tambahan untuk pencarian cepat driver padahal banyak di sekitar sudah menunggu lama driver datang terlambat pula", 1, 123, 01/11/2024, yunus rio Pranatan
"semakin lama aplikasi ini semakin tidak berguna saya pesan goride di gambar banyak sekali driver terdekat eh yang datang jauh sekali sampai ke jepang ongkir sekarang mahal sekali maaf untuk kali ini saya pindah ke aplikasi lain tidak ribet", 1, 2, 18/11/2024, Ahmad Wadud
"mulai dari proses pemesanan sampai pengantaran luar biasa bagus sebelumnya saya merasa ada hambatan terutama pada proses masuk aplikasi dan kecepatan layanan membuat sering membatalkan pemesanan tapi sekarang berbeda sangat cepat dan nyaman semoga ke depan lebih baik lagi atau minimal mempertahankan capaian sekarang terima kasih", 5, 77, 20/11/2024, Lukas Kerong N. (Luke)
"dapat driver selalu jauh padahal ada yang dekat menggunakan fitur prioritas tidak berpengaruh sekali dapat driver dibatalkan mencoba aplikasi lain malah langsung dapat tanpa banyak drama", 1, 15, 15/11/2024, Syizuril
"sangat mengecewakan terutama bagian Gocar driver bahkan sampai menghina saya karena menggunakan fitur gocar hemat padahal itu sudah bawaan dari aplikasi padahal kalau mau saya kadang memberikan tips yang tidak sedikit di luar aplikasi karena saya tahu ongkos segitu tidak masuk akal saya harap pihak gojek menegur driver-nya khusus di wilayah Palembang Sumatera Selatan KM12", 1, 3, 22/11/2024, Ryuzaki Nordwand
"kecewa dengan goride, hemat dan reguler tetap saja tidak ada bedanya harusnya yang reguler untuk motor mesin cc keatas seperti vario pcx nmax dan hemat kategori cc kebawah saya bayar lebih untuk reguler tapi motor yang datang motor kecil serius sempit sekali jika pesan gocar kita sedang buru buru bisa kena macet jadi tolong beri kategori motor yang jelas", 2, 8, 13/11/2024, Muhammad Bayu pramudita
"gopaylater tidak pernah memberikan notifikasi pembayaran melalui whatsapp dan notifikasi aplikasi dan pembayaran denda melebihi dari gopaylater yang saya gunakan 50 ribu sendiri untuk denda keterlambatan satu hari hanya karena tidak ada info dan notifikasi apabila ada tagihan sehingga pengguna tidak tahu baru tahu saat masuk ke aplikasi tiba tiba ada info keterlambatan bayar dan itu sudah terjadi kali", 1, 24, 09/11/2024, Cantika Anisyav
"gojek sekarang semakin buruk mencari driver tidak dapat dapat padahal saya tidak membatalkan pesanan dan menunggu menit saya pesan lagi namun hasilnya sama saja tambah banyak bug saya ingin memesan makanan atau goride", 1, 3, 07/11/2024, Khafa Fitri riano
"tolong untuk goride tidak perlu dipisah antara yang hemat dengan yang comfort karena percuma jika tidak ada perhatian dari pihak gojek pengalaman saya pesan comfort tapi motor yang datang beda plat nomor beda jenisnya masuk kategori hemat tolong lebih diperhatikan lagi khusus driver goride karena keselamatan di atas segalanya", 4, 51, 25/10/2024, Bagus Tri Sukma
"kadang lama mencari drivernya malah pernah tidak dapat sudah malam tapi aplikasinya kadang suka lemot mohon diperbaiki ya saya selalu tidak dapat driver walau sudah memilih harga yang lebih mahal terima kasih", 4, 4, 12/11/2024, Tiani Putri29
"tolong dong GPS nya dibuat lebih akurat pesan di mana dapetnya di mana sering driver muter muter untung juga tidak seberapa tolong diperbaiki lagi aplikasi sudah terbaru saya update terus izin lokasi juga sudah aktif saya pesan di sini juga malah dapet mobil di kemayoran padahal di stasiun senen banyak driver nya segitu saya ambil prioritas tolong diperbaiki", 3, 12, 08/11/2024, ydn99 bag
"aplikasi pesan ojek tapi tidak dapat dapat ojeknya kalau disuruh menunggu kembali tetap tidak akan dapat gojeknya terus untuk fitur faster search tidak berguna ya sekalinya dapat malah jauh sekali sampai km", 1, 3, 11/11/2024, Farshad Ali Rachman
"apaan sih ini aplikasi tiba tiba banget driver nya ngechat saya sesuai aplikasi padahal saya lagi diam tidak buka aplikasi ini aneh sekali terus sering sekali dapat driver yang meminta ongkos lebih bahkan kali lipat pernah kejadian saya naik gocar terus bawa satu koper driver nya minta ongkos dua kali lipat gila ini aplikasi menerima driver yang seperti itu semoga ke depannya diperbaiki ya siapapun yang punya aplikasi ini kalau tidak ya terpaksa saya pindah ke aplikasi sebelah", 2, 1, 16/11/2024, April Harisandi
"paket gojek sekarang lebih mahal jadi malas diskon nya juga kecil hanya seribu rupiah pelit amat terus pas mau pergi cek jarak dengan google maps misalnya di google km tapi di cek di gojek jadi km jauh sekali dicek di aplikasi ojek lain malah sama dan pas seperti google maps tolong dong diperbaiki susah kalau ongkos mahal mending beli motor saja", 3, 2, 19/11/2024, all trailer
"parah akun tidak bisa dibuka gara gara lupa pin dan minta bantuan tidak ada penyelesaian baik lewat email maupun telepon tapi top up ke nomor yang terdaftar di gopay tetap masuk dan berhasil", 1, 1, 17/11/2024, e lisa beth
"masa top up gopay tidak masuk sih di aplikasinya padahal status di mobile banking berhasil bingung mau mengadu ke siapa terkait ini dalam aplikasinya tidak ada customer service untuk kendala ini tolong diperhatikan masalah ini", 2, 1, 16/11/2024, Arie Wicaksono
"sudah kali pesan gocar sudah setengah perjalanan menuju lokasi jemput si driver bilang lagi bawa penumpang dan minta dibatalkan padahal sedang buru buru kalau tidak bisa kenapa tidak bilang dari awal jadi saya tidak mengerti bagaimana bisa menerima orderan padahal sedang bawa penumpang padahal baru kali ini saja tapi sudah membuat saya ragu untuk pesan gocar lagi takut seperti ini lagi sudah ditunggu tunggu malah meminta cancel", 4, 1, 30/10/2024, K S
"kecewa sekali sebelumnya memberi rating tapi sekarang sangat tidak memuaskan sebenarnya saya tidak tahu apa masalah pada akun saya tapi tiba tiba saja begitu mau pesan apapun tidak bisa terus klik bantuan mau ngobrol dengan customer service nya juga susah tidak responsif sekali menangani kesalahannya tidak menghargai saya sebagai pelanggan kecewa tiba tiba akun saya mendapat aktivitas yang tidak biasa padahal akun gojek saya sudah lama tolong diperhatikan ini masalahnya lama kelamaan jadi tidak jelas aplikasi ini", 5, 38, 18/11/2024, safira yunita
"halo gojek hari ini saya sangat kesal dengan aplikasi kalian bisa bisa saya tidak order tapi keorder sendiri aplikasi kalian ada masalah apa sebenarnya ada pembaruan aplikasi sampai aplikasi nya berjalan sendiri saya sudah telepon pusat gojek di jakarta tapi tidak ada solusi katanya bisa dibatalkan tapi pada akhirnya tetap bayar dan yang saya bayar tidak sedikit", 1, 2, 17/11/2024, febby mutiara
"evaluasi driver gocar terutama gocar biasa cari driver susah dibatalkan sepihak yang bagus hanya gocar comfort dan prioritas banyak yang dibatalkan sepihak", 3, 1, 03/11/2024, Yogi Zaenal
